Cohort,CaptureYear,CaptureCov,CaptureSwitch,NPOPS,Comps
2002,2010,23,0,0,5655
2003,2010,23,0,0,50606
2004,2010,23,0,0,66391
2005,2010,23,0,0,55237
2006,2010,23,0,0,51445
2007,2010,23,0,0,54915
2002,2007,24,0,0,1009
2003,2007,24,0,0,9049
2004,2007,24,0,0,11236
2005,2007,24,0,0,9843
2006,2007,24,0,1,9187
2002,2008,24,0,0,2580
2003,2008,24,0,0,23151
2004,2008,24,0,0,29072
2005,2008,24,0,0,24991
2006,2008,24,0,0,23517
2007,2008,24,0,0,25059
2002,2009,24,0,0,3618
2003,2009,24,0,0,32343
2004,2009,24,0,0,41440
2005,2009,24,0,0,35245
2006,2009,24,0,0,32846
2007,2009,24,0,0,35072
2002,2010,24,0,0,2900
2003,2010,24,0,0,25944
2004,2010,24,0,0,34033
2005,2010,24,0,0,28300
2006,2010,24,0,0,26384
2007,2010,24,0,0,28159
2002,2006,25,0,0,290
2003,2006,25,0,0,2597
2004,2006,25,0,0,3398
2005,2006,25,0,0,2835
2002,2007,25,0,0,289
2003,2007,25,0,0,2589
2004,2007,25,0,0,3267
2005,2007,25,0,0,2821
2006,2007,25,0,0,2630
2002,2008,25,0,0,713
2003,2008,25,0,0,6414
2004,2008,25,0,0,7759
2005,2008,25,0,0,6851
2006,2008,25,0,0,6503
2007,2008,25,0,0,6930
2002,2009,25,0,0,1146
2003,2009,25,0,0,10261
2004,2009,25,0,0,12975
2005,2009,25,0,0,11095
2006,2009,25,0,0,10389
2007,2009,25,0,0,11138
2002,2010,25,0,0,3915
2003,2010,25,0,0,35049
2004,2010,25,0,0,46073
2005,2010,25,0,0,38266
2006,2010,25,0,0,35631
2007,2010,25,0,0,38033
2002,2006,26,0,0,725
2003,2006,26,0,0,6492
2004,2006,26,0,0,8527
2005,2006,26,0,0,7093
2002,2007,26,0,0,868
2003,2007,26,0,0,7775
2004,2007,26,0,1,9910
2005,2007,26,0,0,8476
2006,2007,26,0,0,7890
2002,2008,26,0,0,1004
2003,2008,26,0,0,9011
2004,2008,26,0,0,11063
2005,2008,26,0,1,9745
2006,2008,26,0,0,9156
2007,2008,26,0,0,9752
2002,2009,26,0,0,435
2003,2009,26,0,0,3889
2004,2009,26,0,0,5014
2005,2009,26,0,0,4243
2006,2009,26,0,0,3944
2007,2009,26,0,0,4213
2002,2010,26,0,0,725
2003,2010,26,0,0,6491
2004,2010,26,0,0,8501
2005,2010,26,0,0,7087
2006,2010,26,0,0,6591
2007,2010,26,0,0,7037
2002,2006,27,0,0,145
2003,2006,27,0,0,1295
2004,2006,27,0,0,1684
2005,2006,27,0,0,1411
2002,2007,27,0,0,579
2003,2007,27,0,0,5167
2004,2007,27,0,0,6650
2005,2007,27,0,1,5496
2006,2007,27,0,0,5268
2002,2008,27,0,0,864
2003,2008,27,0,0,7757
2004,2008,27,0,0,9587
2005,2008,27,0,0,8436
2006,2008,27,0,0,7868
2007,2008,27,0,0,8378
2002,2009,27,0,0,725
2003,2009,27,0,0,6481
2004,2009,27,0,0,8358
2005,2009,27,0,0,7070
2006,2009,27,0,0,6574
2007,2009,27,0,0,7022
2002,2010,27,0,0,1450
2003,2010,27,0,0,12963
2004,2010,27,0,0,16946
2005,2010,27,0,0,14147
2006,2010,27,0,0,13182
2007,2010,27,0,0,14070
2002,2007,28,0,0,722
2003,2007,28,0,0,6465
2004,2007,28,0,0,8130
2005,2007,28,0,0,7045
2006,2007,28,0,0,6571
2002,2008,28,0,0,1294
2003,2008,28,0,0,11617
2004,2008,28,0,0,14339
2005,2008,28,0,0,12607
2006,2008,28,0,0,11785
2007,2008,28,0,0,12555
2002,2009,28,0,0,580
2003,2009,28,0,0,5181
2004,2009,28,0,0,6636
2005,2009,28,0,0,5646
2006,2009,28,0,0,5250
2007,2009,28,0,0,5610
2002,2010,28,0,0,725
2003,2010,28,0,0,6487
2004,2010,28,0,0,8485
2005,2010,28,0,0,7082
2006,2010,28,0,0,6593
2007,2010,28,0,0,7035
2002,2006,29,0,0,290
2003,2006,29,0,0,2598
2004,2006,29,0,0,3420
2005,2006,29,0,0,2838
2002,2007,29,0,0,434
2003,2007,29,0,0,3886
2004,2007,29,0,0,4937
2005,2007,29,0,0,4236
2006,2007,29,0,0,3942
2002,2008,29,0,0,721
2003,2008,29,0,0,6461
2004,2008,29,0,0,8065
2005,2008,29,0,0,7033
2006,2008,29,0,0,6566
